Date,Open,High,Low,Close,Adj Close,Volume
2001-01-02,132.0,132.15625,127.5625,128.8125,83.4950942993164,8737500
2001-01-03,128.3125,136.0,127.65625,135.0,87.50578308105469,19431600
2001-01-04,134.9375,135.46875,133.0,133.546875,86.56385040283203,9219000
2001-01-05,133.46875,133.625,129.1875,129.1875,83.73815155029297,12911400
2001-01-08,129.875,130.1875,127.6875,130.1875,84.38636779785156,6625300
2001-01-09,131.046875,131.5,129.421875,129.84375,84.16353607177734,5702400
2001-01-10,129.0,132.125,128.8125,132.125,85.6422348022461,8746100
2001-01-11,131.09375,133.484375,131.09375,132.25,85.7232666015625,7245100
2001-01-12,132.6875,133.71875,131.28125,132.0,85.5611801147461,7244000
2001-01-16,132.0,133.1875,131.515625,132.84375,86.108154296875,8542200
2001-01-17,134.84375,135.046875,132.640625,133.453125,86.50310516357422,7851400
2001-01-18,133.4375,135.703125,132.9375,134.78125,87.36400604248047,8107000
2001-01-19,136.1875,136.1875,133.875,134.015625,86.8676986694336,7782500
2001-01-22,134.25,135.78125,133.5625,134.90625,87.44501495361328,7050900
2001-01-23,134.46875,136.65625,134.15625,135.96875,88.13373565673828,8463100
2001-01-24,136.25,137.3125,135.84375,136.375,88.39701843261719,6199900
2001-01-25,136.25,137.25,135.65625,136.03125,88.17424774169922,10818300
2001-01-26,135.15625,136.125,134.453125,135.875,88.07292938232422,7136800
2001-01-29,135.5,136.89999389648438,135.3699951171875,136.60000610351562,88.5428695678711,6705900
2001-01-30,136.3000030517578,137.9199981689453,135.7899932861328,137.8000030517578,89.32070922851562,7069100
2001-01-31,137.39999389648438,138.6999969482422,136.60000610351562,137.02000427246094,88.81513214111328,9706900
2001-02-01,137.10000610351562,137.9499969482422,136.25,137.92999267578125,89.40496826171875,8239100
2001-02-02,137.39999389648438,137.99000549316406,134.75,134.8000030517578,87.37611389160156,8276600
2001-02-05,134.8000030517578,135.94000244140625,134.75,135.7899932861328,88.01785278320312,4352900
2001-02-06,135.3000030517578,136.6999969482422,135.22000122070312,135.38999938964844,87.75861358642578,7106700
2001-02-07,134.72000122070312,135.39999389648438,133.67999267578125,134.69000244140625,87.30484771728516,5748700
2001-02-08,134.8000030517578,135.39999389648438,133.10000610351562,133.1199951171875,86.28720092773438,5943300
2001-02-09,133.35000610351562,133.35000610351562,131.25999450683594,131.83999633789062,85.45748901367188,9913000
2001-02-12,131.6999969482422,133.5,131.6999969482422,133.35000610351562,86.43624877929688,5804400
2001-02-13,133.6999969482422,134.1699981689453,132.0,132.25999450683594,85.72974395751953,6587600
2001-02-14,132.64999389648438,132.64999389648438,130.66000366210938,132.05999755859375,85.6000747680664,8400100
2001-02-15,132.83999633789062,133.52000427246094,131.99000549316406,133.33999633789062,86.42976379394531,5929800
2001-02-16,131.0,131.2899932861328,129.3000030517578,130.39999389648438,84.52410125732422,6434900
2001-02-20,131.0399932861328,131.13999938964844,128.10000610351562,128.38999938964844,83.22124481201172,5760000
2001-02-21,127.9000015258789,128.83999633789062,125.5,125.62000274658203,81.42575073242188,10910800
2001-02-22,126.3499984741211,126.54000091552734,123.0199966430664,125.80999755859375,81.5489273071289,21281600
2001-02-23,125.08000183105469,125.54000091552734,121.80000305175781,124.95999908447266,80.99794006347656,20173000
2001-02-26,125.80000305175781,127.62000274658203,124.5,127.62000274658203,82.7221450805664,11503700
2001-02-27,126.80000305175781,127.83999633789062,125.51000213623047,126.44000244140625,81.95728302001953,11415000
2001-02-28,126.75,126.83999633789062,123.2699966430664,123.94999694824219,80.34327697753906,14825800
2001-03-01,124.05000305175781,124.5999984741211,121.75,124.5999984741211,80.76460266113281,14672000
2001-03-02,122.5,125.6500015258789,122.30000305175781,123.61000061035156,80.12291717529297,12564300
2001-03-05,124.1500015258789,124.77999877929688,123.80999755859375,124.73999786376953,80.85536193847656,5293200
2001-03-06,126.3499984741211,127.75,125.48999786376953,126.08000183105469,81.72390747070312,6917000
2001-03-07,126.9000015258789,127.04000091552734,125.76000213623047,126.9800033569336,82.3072738647461,6371700
2001-03-08,126.5999984741211,127.23999786376953,126.13999938964844,127.12000274658203,82.39805603027344,6055000
2001-03-09,126.0999984741211,126.0999984741211,123.11000061035156,123.36000061035156,79.9608154296875,10020300
